                   x          segdensity2          segdensity2          segdensity3          segdensity4          segdensity5          segdensity6          segdensity7          segdensity8
 l=         100 t=   7.5238842007885571     
                  37   248.15000000000001   424.44999999999999   466.37000000000000   487.56999999999999   225.84000000000000  4036.90000000000009  3723.63999999999987  4837.07999999999993
                  38   235.43000000000001   425.97000000000003   477.19000000000000   472.12000000000000   224.31999999999999  4067.88000000000011  3748.90999999999985  4798.18000000000029
                  39   140.88000000000000   317.88999999999999   373.74000000000001   271.41000000000003   152.81000000000000  5159.77000000000044  4303.65999999999985  3729.84000000000015
                  40   135.47999999999999   298.53000000000003   337.75999999999999   258.86000000000001   141.03000000000000  5228.40000000000055  4372.80000000000018  3677.13999999999987
                  41   159.92000000000002   305.61000000000001   368.12000000000000   313.75000000000000   146.33000000000001  3807.15999999999985  5279.86999999999989  4069.24000000000024
                  42   149.40000000000001   305.68000000000001   350.87000000000000   303.56000000000000   161.94000000000000  3793.40000000000009  5338.42000000000007  4046.73000000000002
                  43   222.74000000000001   447.46000000000004   515.88999999999999   425.85000000000002   224.42000000000002  3922.84000000000015  3677.36999999999989  5013.43000000000029
                  44   220.06999999999999   443.12000000000000   468.79000000000002   423.15000000000003   229.27000000000001  3994.99000000000024  3688.01000000000022  4982.60000000000036
                  45   157.25999999999999   317.00999999999999   360.99000000000001   306.65000000000003   153.11000000000001  5267.88000000000011  4174.39000000000033  3712.71000000000004
                  46   143.11000000000001   305.65000000000003   339.50000000000000   313.26999999999998   148.50999999999999  5290.40000000000055  4302.75000000000000  3606.80999999999995
                  47   148.39000000000001   289.19000000000000   377.43000000000001   346.04000000000002   146.61000000000001  3622.84000000000015  5382.00000000000000  4137.50000000000000
                  48   147.31000000000000   313.20999999999998   360.11000000000001   332.69999999999999   160.34999999999999  3587.84999999999991  5453.42000000000007  4095.05000000000018
                  49   233.90000000000001   428.12000000000000   532.32000000000005   448.56000000000000   220.92000000000002  3883.13000000000011  3728.78999999999996  4974.26000000000022
                  50   227.74000000000001   423.75000000000000   514.57000000000005   408.17000000000002   213.75000000000000  4038.16000000000031  3739.03000000000020  4884.82999999999993
                  51   148.97999999999999   328.13000000000000   369.84000000000003   317.50000000000000   157.06999999999999  5252.80000000000018  4150.89999999999964  3724.78000000000020
